fecha,serie,valor,categoria,fuente,unidad
1996-04-01,Base Monetaria,12235.0,monetario,BCRA,millones ARS
1996-04-01,Reservas Internacionales BCRA,18705.0,monetario,BCRA,millones USD
1996-04-02,Base Monetaria,12460.0,monetario,BCRA,millones ARS
1996-04-02,Reservas Internacionales BCRA,18641.0,monetario,BCRA,millones USD
1996-04-03,Base Monetaria,12628.0,monetario,BCRA,millones ARS
1996-04-03,Reservas Internacionales BCRA,18459.0,monetario,BCRA,millones USD
1996-04-08,Base Monetaria,12671.0,monetario,BCRA,millones ARS
1996-04-08,Reservas Internacionales BCRA,18715.0,monetario,BCRA,millones USD
1996-04-09,Base Monetaria,12508.0,monetario,BCRA,millones ARS
1996-04-09,Reservas Internacionales BCRA,18751.0,monetario,BCRA,millones USD
1996-04-10,Base Monetaria,12360.0,monetario,BCRA,millones ARS
1996-04-10,Reservas Internacionales BCRA,19116.0,monetario,BCRA,millones USD
1996-04-11,Base Monetaria,12283.0,monetario,BCRA,millones ARS
1996-04-11,Reservas Internacionales BCRA,19008.0,monetario,BCRA,millones USD
1996-04-12,Base Monetaria,12132.0,monetario,BCRA,millones ARS
1996-04-12,Reservas Internacionales BCRA,18625.0,monetario,BCRA,millones USD
1996-04-15,Base Monetaria,12101.0,monetario,BCRA,millones ARS
1996-04-15,Reservas Internacionales BCRA,18450.0,monetario,BCRA,millones USD
1996-04-16,Base Monetaria,11951.0,monetario,BCRA,millones ARS
1996-04-16,Reservas Internacionales BCRA,18877.0,monetario,BCRA,millones USD
1996-04-17,Base Monetaria,11884.0,monetario,BCRA,millones ARS
1996-04-17,Reservas Internacionales BCRA,18882.0,monetario,BCRA,millones USD
1996-04-18,Base Monetaria,11876.0,monetario,BCRA,millones ARS
1996-04-18,Reservas Internacionales BCRA,19010.0,monetario,BCRA,millones USD
1996-04-19,Base Monetaria,11856.0,monetario,BCRA,millones ARS
1996-04-19,Reservas Internacionales BCRA,18981.0,monetario,BCRA,millones USD
1996-04-22,Base Monetaria,11829.0,monetario,BCRA,millones ARS
1996-04-22,Reservas Internacionales BCRA,19077.0,monetario,BCRA,millones USD
1996-04-23,Base Monetaria,11710.0,monetario,BCRA,millones ARS
1996-04-23,Reservas Internacionales BCRA,18975.0,monetario,BCRA,millones USD
1996-04-24,Base Monetaria,11639.0,monetario,BCRA,millones ARS
1996-04-24,Reservas Internacionales BCRA,18868.0,monetario,BCRA,millones USD
1996-04-25,Base Monetaria,11610.0,monetario,BCRA,millones ARS
1996-04-25,Reservas Internacionales BCRA,18963.0,monetario,BCRA,millones USD
1996-04-26,Base Monetaria,11690.0,monetario,BCRA,millones ARS
1996-04-26,Reservas Internacionales BCRA,18481.0,monetario,BCRA,millones USD
1996-04-29,Base Monetaria,11945.0,monetario,BCRA,millones ARS
1996-04-29,Reservas Internacionales BCRA,17878.0,monetario,BCRA,millones USD
1996-04-30,Base Monetaria,12043.0,monetario,BCRA,millones ARS
1996-04-30,Reservas Internacionales BCRA,17763.0,monetario,BCRA,millones USD
1996-05-02,Base Monetaria,12265.0,monetario,BCRA,millones ARS
1996-05-02,Reservas Internacionales BCRA,18393.0,monetario,BCRA,millones USD
1996-05-03,Base Monetaria,12361.0,monetario,BCRA,millones ARS
1996-05-03,Reservas Internacionales BCRA,18503.0,monetario,BCRA,millones USD
1996-05-06,Base Monetaria,12485.0,monetario,BCRA,millones ARS
1996-05-06,Reservas Internacionales BCRA,18591.0,monetario,BCRA,millones USD
1996-05-07,Base Monetaria,12522.0,monetario,BCRA,millones ARS
1996-05-07,Reservas Internacionales BCRA,18996.0,monetario,BCRA,millones USD
1996-05-08,Base Monetaria,12530.0,monetario,BCRA,millones ARS
1996-05-08,Reservas Internacionales BCRA,19206.0,monetario,BCRA,millones USD
1996-05-09,Base Monetaria,12507.0,monetario,BCRA,millones ARS
1996-05-09,Reservas Internacionales BCRA,19159.0,monetario,BCRA,millones USD
1996-05-10,Base Monetaria,12467.0,monetario,BCRA,millones ARS
1996-05-10,Reservas Internacionales BCRA,19170.0,monetario,BCRA,millones USD
1996-05-13,Base Monetaria,12377.0,monetario,BCRA,millones ARS
