fecha,valor
2013-01-02,6.67
2013-01-03,6.68
2013-01-04,6.82
2013-01-05,6.82
2013-01-06,6.82
2013-01-07,6.83
2013-01-08,6.87
2013-01-09,7.03
2013-01-10,7.03
2013-01-11,7.13
2013-01-12,7.13
2013-01-13,7.13
2013-01-14,7.16
2013-01-15,7.18
2013-01-16,7.25
2013-01-17,7.33
2013-01-18,7.31
2013-01-19,7.31
2013-01-20,7.31
2013-01-21,7.31
2013-01-22,7.35
2013-01-23,7.38
2013-01-24,7.46
2013-01-25,7.51
2013-01-26,7.51
2013-01-27,7.51
2013-01-28,7.53
2013-01-29,7.62
2013-01-30,7.68
2013-01-31,7.68
2013-02-01,7.71
2013-02-02,7.71
2013-02-03,7.71
2013-02-04,7.83
2013-02-05,7.87
2013-02-06,7.77
2013-02-07,7.7
2013-02-08,7.76
2013-02-09,7.76
2013-02-10,7.76
2013-02-11,7.76
2013-02-12,7.76
2013-02-13,7.69
2013-02-14,7.71
2013-02-15,7.62
2013-02-16,7.62
2013-02-17,7.62
2013-02-18,7.62
2013-02-19,7.72
2013-02-20,7.72
2013-02-21,7.75
2013-02-22,7.75
2013-02-23,7.75
2013-02-24,7.75
2013-02-25,7.73
2013-02-26,7.94
2013-02-27,7.82
2013-02-28,7.78
2013-03-01,8.08
2013-03-02,8.08
2013-03-03,8.08
2013-03-04,8.06
2013-03-05,7.92
2013-03-06,8.06
2013-03-07,8.03
2013-03-08,8.15
2013-03-09,8.15
2013-03-10,8.15
2013-03-11,8.2
2013-03-12,8.33
2013-03-13,8.34
2013-03-14,8.36
2013-03-15,8.47
2013-03-16,8.47
2013-03-17,8.47
2013-03-18,8.49
2013-03-19,8.44
2013-03-20,8.37
2013-03-21,8.48
2013-03-22,8.48
2013-03-23,8.48
2013-03-24,8.48
2013-03-25,8.4
2013-03-26,8.48
2013-03-27,8.5
2013-03-28,8.5
2013-03-29,8.5
2013-03-30,8.5
2013-03-31,8.5
2013-04-01,8.5
2013-04-02,8.5
2013-04-03,8.54
2013-04-04,8.44
2013-04-05,8.41
2013-04-06,8.41
2013-04-07,8.41
2013-04-08,8.45
2013-04-09,8.44
2013-04-10,8.48
2013-04-11,8.52
2013-04-12,8.63
2013-04-13,8.63
2013-04-14,8.63
2013-04-15,8.73
2013-04-16,8.87
2013-04-17,8.93
2013-04-18,9.05
2013-04-19,9.04
2013-04-20,9.04
2013-04-21,9.04
2013-04-22,8.93
2013-04-23,8.93
2013-04-24,8.9
2013-04-25,8.85
2013-04-26,9.01
2013-04-27,9.01
2013-04-28,9.01
2013-04-29,9.16
2013-04-30,9.21
2013-05-01,9.21
2013-05-02,9.31
2013-05-03,9.31
2013-05-04,9.31
2013-05-05,9.31
2013-05-06,9.47
2013-05-07,9.43
2013-05-08,9.54
2013-05-09,9.55
2013-05-10,9.24
2013-05-11,9.24
2013-05-12,9.24
2013-05-13,9.01
2013-05-14,8.71
2013-05-15,8.59
2013-05-16,9.02
2013-05-17,9.06
2013-05-18,9.06
2013-05-19,9.06
2013-05-20,8.83
2013-05-21,8.87
2013-05-22,8.66
2013-05-23,8.51
2013-05-24,8.62
2013-05-25,8.62
2013-05-26,8.62
2013-05-27,8.53
2013-05-28,8.53
2013-05-29,8.34
2013-05-30,8.32
2013-05-31,8.32
2013-06-01,8.32
2013-06-05,8.3
2013-06-06,8.35
2013-06-07,8.41
2013-06-08,8.41
2013-06-09,8.41
2013-06-10,8.36
2013-06-11,8.28
2013-06-12,8.27
2013-06-13,8.16
2013-06-14,8.05
2013-06-15,8.05
2013-06-16,8.05
2013-06-17,8.02
2013-06-18,7.9
2013-06-19,7.87
2013-06-20,7.87
2013-06-21,7.87
2013-06-22,7.87
2013-06-23,7.87
2013-06-24,8.25
2013-06-25,8.18
2013-06-26,8.1
2013-06-27,7.88
2013-06-28,7.65
2013-06-29,7.65
2013-06-30,7.65
2013-07-01,7.9
2013-07-02,7.63
2013-07-03,7.59
2013-07-04,7.4
2013-07-05,7.86
2013-07-06,7.86
2013-07-07,7.86
2013-07-08,7.92
2013-07-09,7.92
2013-07-10,8.17
2013-07-11,8.12
2013-07-12,8.2
2013-07-13,8.2
2013-07-14,8.2
2013-07-15,8.33
2013-07-16,8.48
2013-07-17,8.54
2013-07-18,8.54
2013-07-19,8.54
2013-07-20,8.54
2013-07-21,8.54
2013-07-22,8.32
2013-07-23,8.31
2013-07-24,8.31
2013-07-25,8.31
2013-07-26,8.31
2013-07-27,8.31
2013-07-28,8.31
2013-07-29,8.3
2013-07-30,8.32
2013-07-31,8.53
2013-08-01,8.53
2013-08-02,8.53
2013-08-03,8.53
2013-08-04,8.53
2013-08-05,8.3
2013-08-06,8.3
2013-08-07,8.3
2013-08-08,8.3
2013-08-09,8.55
2013-08-10,8.55
2013-08-11,8.55
2013-08-12,8.5
2013-08-13,8.57
2013-08-14,8.57
2013-08-15,8.5
2013-08-16,8.5
2013-08-17,8.5
2013-08-18,8.5
2013-08-19,8.5
2013-08-20,8.5
2013-08-21,8.54
2013-08-22,8.55
2013-08-23,8.51
2013-08-24,8.51
2013-08-25,8.51
2013-08-26,8.55
2013-08-27,8.57
2013-08-28,8.74
2013-08-29,8.74
2013-08-30,8.74
2013-08-31,8.74
2013-09-01,8.74
2013-09-02,8.7
2013-09-03,8.7
2013-09-04,8.7
2013-09-05,8.88
2013-09-06,8.88
2013-09-07,8.88
2013-09-08,8.88
2013-09-09,8.88
2013-09-10,8.87
2013-09-11,8.87
2013-09-12,9.0
2013-09-13,9.0
2013-09-14,9.0
2013-09-15,9.0
2013-09-16,9.05
2013-09-17,9.3
2013-09-18,9.3
2013-09-19,9.27
2013-09-20,9.27
2013-09-21,9.27
2013-09-22,9.27
2013-09-23,9.22
2013-09-24,9.25
2013-09-25,9.22
2013-09-26,9.1
2013-09-27,9.1
2013-09-28,9.1
2013-09-29,9.1
2013-09-30,9.0
2013-10-01,8.98
2013-10-02,9.0
2013-10-03,9.05
2013-10-04,9.05
2013-10-05,9.05
2013-10-06,9.05
2013-10-07,9.05
2013-10-08,9.05
2013-10-09,9.05
2013-10-10,9.05
2013-10-11,9.05
2013-10-12,9.05
2013-10-13,9.05
2013-10-14,9.05
2013-10-15,9.1
2013-10-16,9.0
2013-10-17,9.0
2013-10-18,9.0
2013-10-19,9.0
2013-10-20,9.0
2013-10-21,9.2
2013-10-22,9.27
2013-10-23,9.27
2013-10-24,9.27
2013-10-25,9.27
2013-10-26,9.27
2013-10-28,9.4
2013-10-29,9.3
2013-10-30,9.11
2013-10-31,9.16
2013-11-01,9.16
2013-11-02,9.16
2013-11-03,9.16
2013-11-04,9.16
2013-11-05,9.18
2013-11-06,9.18
2013-11-07,9.18
2013-11-08,9.18
2013-11-09,9.18
2013-11-10,9.18
2013-11-11,9.17
2013-11-12,9.23
2013-11-13,9.3
2013-11-14,9.25
2013-11-15,9.25
2013-11-16,9.25
2013-11-17,9.25
2013-11-18,9.25
2013-11-19,9.15
2013-11-20,9.05
2013-11-21,8.95
2013-11-22,8.95
2013-11-23,8.95
2013-11-24,8.95
2013-11-25,8.95
2013-11-26,8.97
2013-11-27,8.87
2013-11-28,8.87
