fecha,valor
2018-10-29,36.97
2018-10-30,36.63
2018-10-31,35.93
2018-11-01,35.89
2018-11-02,35.66
2018-11-03,35.66
2018-11-04,35.66
2018-11-05,35.79
2018-11-06,35.79
2018-11-07,35.76
2018-11-08,35.78
2018-11-09,35.55
2018-11-10,35.55
2018-11-11,35.55
2018-11-12,35.55
2018-11-13,35.99
2018-11-14,36.06
2018-11-15,36.3
2018-11-16,36.15
2018-11-17,36.15
2018-11-18,36.15
2018-11-19,36.15
2018-11-20,36.25
2018-11-21,36.43
2018-11-22,36.49
2018-11-23,37.81
2018-11-24,37.81
2018-11-25,37.81
2018-11-26,39.17
2018-11-27,38.67
2018-11-28,38.62
2018-11-29,37.68
2018-11-30,37.68
2018-12-01,37.68
2018-12-02,37.68
2018-12-03,36.67
2018-12-04,37.48
2018-12-05,37.57
2018-12-06,37.88
2018-12-07,37.62
2018-12-08,37.62
2018-12-09,37.62
2018-12-10,37.83
2018-12-11,37.71
2018-12-12,37.75
2018-12-13,38.1
2018-12-14,38.47
2018-12-15,38.47
2018-12-16,38.47
2018-12-17,38.53
2018-12-18,38.52
2018-12-19,38.58
2018-12-20,38.41
2018-12-21,38.14
2018-12-22,38.14
2018-12-23,38.14
2018-12-24,38.14
2018-12-25,38.14
2018-12-26,38.55
2018-12-27,38.68
2018-12-28,38.11
2018-12-29,38.11
2018-12-30,38.11
2018-12-31,38.11
2019-01-01,38.11
2019-01-02,37.82
2019-01-03,37.68
2019-01-04,37.56
2019-01-05,37.56
2019-01-06,37.56
2019-01-07,37.37
2019-01-08,37.75
2019-01-09,37.45
2019-01-10,37.34
2019-01-11,37.09
2019-01-12,37.09
2019-01-13,37.09
2019-01-14,36.99
2019-01-15,37.28
2019-01-16,37.62
2019-01-17,37.85
2019-01-18,37.82
2019-01-19,37.82
2019-01-20,37.82
2019-01-21,37.76
2019-01-22,37.68
2019-01-23,37.65
2019-01-24,37.55
2019-01-25,37.2
2019-01-26,37.2
2019-01-27,37.2
2019-01-28,37.27
2019-01-29,37.69
2019-01-30,37.57
2019-01-31,37.54
2019-02-01,37.44
2019-02-02,37.44
2019-02-03,37.44
2019-02-04,37.26
2019-02-05,37.27
2019-02-06,37.68
2019-02-07,37.95
2019-02-08,37.92
2019-02-09,37.92
2019-02-10,37.92
2019-02-11,38.09
2019-02-12,38.07
2019-02-13,38.21
2019-02-14,38.4
2019-02-15,38.84
2019-02-16,38.84
2019-02-17,38.84
2019-02-18,38.88
2019-02-19,39.29
2019-02-20,39.87
2019-02-21,39.87
2019-02-22,39.49
2019-02-23,39.49
2019-02-24,39.49
2019-02-25,39.15
2019-02-26,38.9
2019-02-27,38.9
2019-02-28,39.33
2019-03-01,40.16
2019-03-02,40.16
2019-03-03,40.16
2019-03-04,40.16
2019-03-05,40.16
2019-03-06,40.83
2019-03-07,42.81
2019-03-08,41.35
2019-03-09,41.35
2019-03-10,41.35
2019-03-11,41.38
2019-03-12,41.59
2019-03-13,41.23
2019-03-14,40.91
2019-03-15,40.14
2019-03-16,40.14
2019-03-17,40.14
2019-03-18,40.03
2019-03-19,40.6
2019-03-20,40.78
2019-03-21,41.2
2019-03-22,42.13
2019-03-23,42.13
2019-03-24,42.13
2019-03-25,42.12
2019-03-26,42.66
2019-03-27,44.12
2019-03-28,43.82
2019-03-29,43.66
2019-03-30,43.66
2019-03-31,43.66
2019-04-01,42.8
2019-04-02,42.8
2019-04-03,42.96
2019-04-04,43.66
2019-04-05,43.94
2019-04-06,43.94
2019-04-07,43.94
2019-04-08,43.62
2019-04-09,43.36
2019-04-10,43.09
2019-04-11,42.88
2019-04-12,42.43
2019-04-13,42.43
2019-04-14,42.43
2019-04-15,41.8
2019-04-16,43.25
2019-04-17,42.38
2019-04-18,42.38
2019-04-19,42.38
2019-04-20,42.38
2019-04-21,42.38
2019-04-22,42.64
2019-04-23,42.49
2019-04-24,44.43
2019-04-25,44.89
2019-04-26,46.24
2019-04-27,46.24
2019-04-28,46.24
2019-04-29,44.51
2019-04-30,44.27
2019-05-01,44.27
2019-05-02,44.72
2019-05-03,44.35
2019-05-04,44.35
2019-05-05,44.35
2019-05-06,44.57
2019-05-07,45.53
2019-05-08,45.23
