fecha,valor
1999-01-22,937.0
1999-02-01,790.0
1999-02-02,769.0
1999-02-03,772.0
1999-02-04,777.0
1999-02-05,784.0
1999-02-08,810.0
1999-02-09,815.0
1999-02-10,795.0
1999-02-11,759.0
1999-02-12,742.0
1999-02-15,751.0
1999-02-16,724.0
1999-02-17,747.0
1999-02-18,753.0
1999-02-19,747.0
1999-02-22,762.0
1999-02-23,766.0
1999-02-24,767.0
1999-02-25,775.0
1999-02-26,786.0
1999-03-01,766.0
1999-03-02,799.0
1999-03-03,780.0
1999-03-04,748.0
1999-03-05,744.0
1999-03-08,742.0
1999-03-09,738.0
1999-03-10,716.0
1999-03-11,719.0
1999-03-12,709.0
1999-03-15,687.0
1999-03-16,700.0
1999-03-17,697.0
1999-03-18,689.0
1999-03-19,683.0
1999-03-22,682.0
1999-03-23,704.0
1999-03-24,698.0
1999-03-25,687.0
1999-03-26,689.0
1999-03-29,693.0
1999-03-30,696.0
1999-03-31,683.0
1999-04-01,661.0
1999-04-02,672.0
1999-04-05,660.0
1999-04-06,669.0
1999-04-07,643.0
1999-04-08,641.0
1999-04-09,641.0
1999-04-12,615.0
1999-04-13,611.0
1999-04-14,621.0
1999-04-15,623.0
1999-04-16,597.0
1999-04-19,612.0
1999-04-20,608.0
1999-04-21,597.0
1999-04-22,603.0
1999-04-23,622.0
1999-04-26,607.0
1999-04-27,615.0
1999-04-28,635.0
1999-04-29,621.0
1999-04-30,589.0
1999-05-03,585.0
1999-05-04,587.0
1999-05-05,591.0
1999-05-06,586.0
1999-05-07,576.0
1999-05-10,581.0
1999-05-11,610.0
1999-05-12,613.0
1999-05-13,623.0
1999-05-14,620.0
1999-05-17,657.0
1999-05-18,658.0
1999-05-19,718.0
1999-05-20,746.0
1999-05-21,775.0
1999-05-24,820.0
1999-05-25,806.0
1999-05-26,734.0
1999-05-27,783.0
1999-05-28,778.0
1999-06-01,790.0
1999-06-02,776.0
1999-06-03,770.0
1999-06-04,751.0
1999-06-07,738.0
1999-06-08,743.0
1999-06-09,750.0
1999-06-10,753.0
1999-06-11,768.0
1999-06-14,764.0
1999-06-15,754.0
1999-06-16,723.0
1999-06-17,729.0
1999-06-18,735.0
1999-06-21,726.0
1999-06-22,749.0
1999-06-23,732.0
1999-06-24,733.0
1999-06-25,745.0
1999-06-28,770.0
1999-06-29,761.0
1999-06-30,760.0
1999-07-01,777.0
1999-07-02,778.0
1999-07-05,779.0
1999-07-06,781.0
1999-07-07,789.0
1999-07-08,847.0
1999-07-09,890.0
1999-07-12,947.0
1999-07-13,923.0
1999-07-14,870.0
1999-07-15,890.0
1999-07-16,879.0
1999-07-19,868.0
1999-07-20,882.0
1999-07-21,888.0
1999-07-22,873.0
1999-07-23,885.0
1999-07-26,896.0
1999-07-27,887.0
1999-07-28,873.0
1999-07-29,856.0
1999-07-30,848.0
1999-08-02,874.0
1999-08-03,894.0
1999-08-04,907.0
1999-08-05,909.0
1999-08-06,905.0
1999-08-09,901.0
1999-08-10,900.0
1999-08-11,886.0
1999-08-12,853.0
1999-08-13,840.0
1999-08-16,833.0
1999-08-17,808.0
1999-08-18,837.0
1999-08-19,853.0
1999-08-20,852.0
1999-08-23,845.0
1999-08-24,845.0
1999-08-25,812.0
1999-08-26,811.0
1999-08-27,789.0
1999-08-30,786.0
1999-08-31,764.0
1999-09-01,763.0
1999-09-02,769.0
1999-09-03,765.0
1999-09-06,759.0
1999-09-07,739.0
1999-09-08,734.0
1999-09-09,706.0
1999-09-10,684.0
1999-09-13,689.0
1999-09-14,691.0
1999-09-15,704.0
1999-09-16,714.0
1999-09-17,701.0
1999-09-20,687.0
1999-09-21,705.0
1999-09-22,700.0
