fecha,valor
2016-10-01,100.0
2016-11-01,101.41
2016-12-01,102.79
2017-01-01,104.38
2017-02-01,105.76
2017-03-01,108.82
2017-04-01,112.63
2017-05-01,114.43
2017-06-01,116.45
2017-07-01,121.1
2017-08-01,123.95
2017-09-01,125.71
2017-10-01,127.62
2017-11-01,129.61
2017-12-01,131.03
2018-01-01,132.48
2018-02-01,133.59
2018-03-01,136.14
2018-04-01,139.81
2018-05-01,141.93
2018-06-01,143.14
2018-07-01,146.9
2018-08-01,151.05
2018-09-01,155.44
2018-10-01,161.12
2018-11-01,165.83
2018-12-01,169.94
2019-01-01,175.19
2019-02-01,179.84
2019-03-01,186.94
2019-04-01,191.11
2019-05-01,196.51
2019-06-01,200.44
2019-07-01,209.9
2019-08-01,215.02
2019-09-01,220.77
2019-10-01,227.92
2019-11-01,233.32
2019-12-01,239.44
2020-01-01,253.78
2020-02-01,263.55
2020-03-01,271.58
2020-04-01,272.03
2020-05-01,271.84
2020-06-01,273.47
2020-07-01,278.37
2020-08-01,283.92
2020-09-01,291.02
2020-10-01,302.94
2020-11-01,312.92
2020-12-01,318.42
2021-01-01,328.84
2021-02-01,343.06
2021-03-01,360.28
2021-04-01,371.84
2021-05-01,382.42
2021-06-01,391.16
2021-07-01,410.37
2021-08-01,423.41
2021-09-01,440.34
2021-10-01,458.07
2021-11-01,476.11
2021-12-01,488.33
2022-01-01,506.68
2022-02-01,522.56
2022-03-01,561.16
2022-04-01,589.01
2022-05-01,625.63
2022-06-01,655.94
2022-07-01,692.32
2022-08-01,737.46
2022-09-01,787.08
2022-10-01,827.54
2022-11-01,883.06
2022-12-01,929.56
2023-01-01,973.35
2023-02-01,1031.74
2023-03-01,1136.04
2023-04-01,1200.49
2023-05-01,1290.46
2023-06-01,1368.71
2023-07-01,1519.5
2023-08-01,1635.33
2023-09-01,1826.29
2023-10-01,1978.41
2023-11-01,2157.73
2023-12-01,2348.79
2024-01-01,2734.97
2024-02-01,3099.2
2024-03-01,3417.34
2024-04-01,3764.21
2024-05-01,4077.32
2024-06-01,4329.8
2024-07-01,4653.26
2024-08-01,4916.19
2024-09-01,5147.61
2024-10-01,5383.96
2024-11-01,5591.0
2024-12-01,5765.54
2025-01-01,5934.47
2025-02-01,6161.52
2025-03-01,6344.81
2025-04-01,6559.31
2025-05-01,6755.22
2025-06-01,6956.46
2025-07-01,7129.22
2025-08-01,7354.44
2025-09-01,7518.03
2025-10-01,7705.88
2025-11-01,7843.14
2025-12-01,7969.6
2026-01-01,8171.66
2026-02-01,8370.04
2026-03-01,8654.99
