fecha,valor
1999-01-04,9.0625
1999-01-05,8.8125
1999-01-06,8.8125
1999-01-07,8.75
1999-01-08,8.4375
1999-01-11,8.125
1999-01-12,8.4375
1999-01-13,9.75
1999-01-14,11.1875
1999-01-15,13.1875
1999-01-18,13.0625
1999-01-19,12.75
1999-01-20,12.0
1999-01-21,12.25
1999-01-22,12.0
1999-01-25,12.0
1999-01-26,12.25
1999-01-27,12.0
1999-01-28,12.25
1999-01-29,12.0
1999-02-01,12.125
1999-02-02,12.0
1999-02-03,11.4375
1999-02-04,10.9375
1999-02-05,10.5625
1999-02-08,10.0625
1999-02-09,9.75
1999-02-10,9.125
1999-02-11,8.75
1999-02-12,8.5
1999-02-15,8.3125
1999-02-16,8.0625
1999-02-17,7.6875
1999-02-18,7.3125
1999-02-19,7.1875
1999-02-22,7.0625
1999-02-23,7.125
1999-02-24,7.125
1999-02-25,7.3125
1999-02-26,7.4375
1999-03-01,7.625
1999-03-02,7.5
1999-03-03,7.625
1999-03-04,7.125
1999-03-05,7.9375
1999-03-08,7.1875
1999-03-09,7.0625
1999-03-10,6.8125
1999-03-11,6.75
1999-03-12,6.6875
1999-03-15,6.8125
1999-03-16,7.125
1999-03-17,6.5
1999-03-18,6.5625
1999-03-19,6.4375
1999-03-22,6.3125
1999-03-23,6.3125
1999-03-24,6.3125
1999-03-25,6.25
1999-03-26,6.375
1999-03-29,6.4375
1999-03-30,6.375
1999-03-31,6.375
1999-04-05,6.5625
1999-04-06,6.5625
1999-04-07,6.3125
1999-04-08,6.25
1999-04-09,6.5
1999-04-12,6.125
1999-04-13,5.8125
1999-04-14,6.0625
1999-04-15,5.75
1999-04-16,5.75
1999-04-19,5.5
1999-04-20,5.4375
1999-04-21,5.5625
1999-04-22,5.125
1999-04-23,5.25
1999-04-26,5.25
1999-04-27,5.25
1999-04-28,5.4375
1999-04-29,5.3125
1999-04-30,5.3125
1999-05-03,5.25
1999-05-04,5.5
1999-05-05,5.8125
1999-05-06,5.4375
1999-05-07,5.5625
1999-05-10,5.5625
1999-05-11,5.5625
1999-05-12,5.5
1999-05-13,5.625
1999-05-14,5.6875
1999-05-17,5.75
1999-05-18,5.8125
1999-05-19,6.5
1999-05-20,7.6875
1999-05-21,7.8125
1999-05-24,7.6875
1999-05-26,8.0625
1999-05-27,8.3125
1999-05-28,8.75
1999-05-31,8.5
1999-06-01,8.6875
1999-06-02,8.5625
1999-06-03,8.25
1999-06-04,8.25
1999-06-07,8.0
1999-06-08,7.9375
1999-06-09,7.75
1999-06-10,7.9375
1999-06-11,7.6875
1999-06-15,7.6875
1999-06-16,7.8125
1999-06-17,7.9375
1999-06-18,7.8125
1999-06-22,7.9375
1999-06-23,7.9375
1999-06-24,8.125
1999-06-25,8.25
1999-06-28,8.375
1999-06-29,8.3125
1999-06-30,8.4375
1999-07-01,8.625
1999-07-02,8.0625
1999-07-05,8.1875
1999-07-06,8.375
1999-07-07,8.25
1999-07-08,8.125
1999-07-12,8.6875
1999-07-13,8.375
1999-07-14,8.8125
1999-07-15,8.75
1999-07-16,8.4375
1999-07-19,8.25
1999-07-20,8.1875
1999-07-21,7.8125
1999-07-22,7.3125
1999-07-23,7.6875
1999-07-26,7.8125
1999-07-27,7.875
1999-07-28,7.875
1999-07-29,7.875
1999-07-30,8.3125
1999-08-02,8.5
1999-08-03,8.5625
1999-08-04,8.5625
1999-08-05,8.625
1999-08-06,8.5625
1999-08-09,8.5625
1999-08-10,8.5
1999-08-11,8.25
1999-08-12,7.875
1999-08-13,7.8125
1999-08-17,8.0625
1999-08-18,7.8125
1999-08-19,7.875
1999-08-20,7.875
1999-08-23,7.8125
1999-08-24,7.8125
1999-08-25,7.875
1999-08-26,7.875
1999-08-27,7.8125
1999-08-30,7.875
1999-08-31,7.8125
1999-09-01,8.125
1999-09-02,8.125
1999-09-03,8.1875
1999-09-06,8.375
1999-09-07,8.25
1999-09-08,8.375
1999-09-09,8.5
1999-09-10,8.5
1999-09-13,8.5625
1999-09-14,8.625
1999-09-15,8.8125
1999-09-16,8.875
1999-09-17,9.0
1999-09-20,8.9375
1999-09-21,9.0
1999-09-22,9.125
1999-09-23,9.0625
1999-09-24,9.125
