fecha,valor
2008-01-02,9.485
2008-01-03,8.35
2008-01-04,8.1865
2008-01-07,8.095
2008-01-08,8.005
2008-01-09,7.96
2008-01-10,7.97
2008-01-11,7.91
2008-01-14,7.98
2008-01-15,7.93
2008-01-16,7.95
2008-01-17,7.99
2008-01-18,8.02
2008-01-21,7.95
2008-01-22,7.79
2008-01-23,7.835
2008-01-24,7.705
2008-01-25,7.7
2008-01-28,7.75
2008-01-29,7.7
2008-01-30,7.065
2008-01-31,7.175
2008-02-01,6.71
2008-02-04,6.085
2008-02-05,5.88
2008-02-06,5.57
2008-02-07,6.22
2008-02-08,7.075
2008-02-11,7.32
2008-02-12,7.6
2008-02-13,7.86
2008-02-14,7.715
2008-02-15,7.67
2008-02-18,7.605
2008-02-19,7.775
2008-02-20,7.575
2008-02-21,7.645
2008-02-22,7.285
2008-02-25,7.4
2008-02-26,7.455
2008-02-27,7.65
2008-02-28,6.92
2008-02-29,7.515
2008-03-03,7.955
2008-03-04,7.615
2008-03-05,7.455
2008-03-06,7.735
2008-03-07,7.725
2008-03-10,7.61
2008-03-11,7.77
2008-03-12,7.9
2008-03-13,7.77
2008-03-14,7.96
2008-03-17,7.9
2008-03-18,7.765
2008-03-19,7.55
2008-03-25,7.065
2008-03-26,7.365
2008-03-27,7.16
2008-03-28,7.48
2008-03-31,7.85
2008-04-01,7.735
2008-04-03,7.8
2008-04-04,7.79
2008-04-07,7.685
2008-04-08,7.665
2008-04-09,7.73
2008-04-10,7.995
2008-04-11,7.945
2008-04-14,7.925
2008-04-15,7.86
2008-04-16,7.72
2008-04-17,7.525
2008-04-18,7.615
2008-04-21,7.585
2008-04-22,7.745
2008-04-23,7.745
2008-04-24,7.7
2008-04-25,8.065
2008-04-28,8.015
2008-04-29,8.095
2008-04-30,8.15
2008-05-02,8.255
2008-05-05,8.355
2008-05-06,8.3
2008-05-07,8.27
2008-05-08,8.33
2008-05-09,8.39
2008-05-12,9.025
2008-05-13,9.93
2008-05-14,11.585
2008-05-15,11.575
2008-05-16,11.175
2008-05-19,9.735
2008-05-20,9.23
2008-05-21,9.0
2008-05-22,8.9
2008-05-23,9.03
2008-05-26,8.925
2008-05-28,8.895
2008-05-29,8.88
2008-05-30,9.005
2008-06-02,9.76
2008-06-03,11.055
2008-06-04,10.715
2008-06-05,9.725
2008-06-06,9.51
2008-06-09,9.245
2008-06-10,9.35
2008-06-11,9.265
2008-06-12,9.045
2008-06-13,8.865
2008-06-17,9.45
2008-06-18,9.325
2008-06-20,9.21
2008-06-23,8.915
2008-06-24,8.895
2008-06-25,8.65
2008-06-26,8.495
2008-06-27,8.395
2008-06-30,8.64
2008-07-01,8.69
2008-07-02,8.715
2008-07-03,8.64
2008-07-04,8.59
2008-07-07,8.29
2008-07-08,8.315
2008-07-10,8.35
2008-07-11,8.435
2008-07-14,8.29
