fecha,valor
2004-01-31,7.5
2004-02-29,7.0
2004-03-31,7.1
2004-04-30,7.4
2004-05-31,7.6
2004-06-30,7.5
2004-07-31,7.4
2004-08-31,7.4
2004-09-30,7.3
2004-10-31,7.1
2004-11-30,6.8
2004-12-31,6.6
2005-02-28,7.0
2005-03-31,8.3
2005-04-30,8.8
2005-05-31,8.6
2005-06-30,8.3
2005-07-31,9.7
2005-08-31,9.6
2005-09-30,9.6
2005-10-31,10.8
2005-11-30,12.0
2005-12-31,12.5
2006-01-31,12.3
2006-02-28,12.4
2006-03-31,12.2
2006-04-30,12.1
2006-05-31,12.0
2006-06-30,11.5
2006-07-31,11.2
2006-08-31,10.3
2006-09-30,10.3
2006-10-31,10.1
2006-11-30,10.0
2006-12-31,10.3
2007-01-31,10.2
2007-02-28,10.1
2007-03-31,9.7
2007-04-30,9.9
2007-05-31,9.9
2007-06-30,9.9
2007-07-31,10.0
2007-08-31,10.2
2007-09-30,10.3
2007-10-31,10.4
2007-11-30,10.0
2007-12-31,9.8
2008-01-31,10.0
2008-02-29,9.5
2008-03-31,9.5
2008-04-30,9.6
2008-05-31,9.5
2008-06-30,9.6
2008-07-31,9.5
2008-08-31,9.5
2008-09-30,9.4
2008-10-31,8.9
2008-11-30,8.9
2008-12-31,7.8
2009-01-31,7.2
2009-02-28,7.0
2009-03-31,6.9
2009-04-30,7.0
2009-05-31,6.5
2009-06-30,6.5
2009-07-31,6.7
2009-08-31,6.8
2009-09-30,7.2
2009-10-31,7.3
2009-11-30,7.4
2009-12-31,8.7
2010-01-31,8.9
2010-02-28,9.7
2010-03-31,10.5
2010-04-30,11.5
2010-05-31,12.0
2010-06-30,11.2
2010-07-31,11.1
2010-08-31,11.1
2010-09-30,11.6
2010-10-31,11.3
2010-11-30,12.0
2010-12-31,12.2
2011-01-31,12.0
2011-02-28,12.5
2011-03-31,11.7
2011-04-30,12.0
2011-05-31,12.0
2011-06-30,11.5
2011-07-31,11.7
2011-08-31,11.4
2011-09-30,11.5
2011-10-31,11.1
2011-11-30,11.0
2011-12-31,11.3
2012-01-31,11.0
2012-02-29,10.8
2012-03-31,11.8
2012-04-30,11.8
2012-05-31,11.1
2012-06-30,11.3
2012-07-31,11.3
2012-08-31,10.0
2012-09-30,10.0
2016-06-30,21.5
2016-07-31,21.7
2016-08-31,21.9
2016-09-30,21.1
2016-10-31,19.4
2016-11-30,20.0
2016-12-31,19.6
2017-01-31,19.7
2017-02-28,19.5
2017-03-31,18.4
2017-04-30,17.5
2017-05-31,17.0
2017-06-30,17.0
2017-07-31,17.1
2017-08-31,17.2
2017-09-30,16.9
2017-10-31,17.3
2017-11-30,17.5
2017-12-31,17.4
2018-01-31,18.6
2018-02-28,17.6
2018-03-31,17.8
2018-04-30,18.2
2018-05-31,22.2
2018-06-30,24.2
2018-07-31,23.7
2018-08-31,31.5
2018-09-30,31.9
2018-10-31,30.6
2018-11-30,28.6
2018-12-31,28.7
2019-01-31,28.5
2019-02-28,29.0
2019-03-31,30.7
2019-04-30,31.4
2019-05-31,31.0
2019-06-30,30.0
2019-07-31,30.2
2019-08-31,48.3
2019-09-30,48.0
2019-10-31,48.2
2019-11-30,45.6
2019-12-31,42.2
2020-01-31,40.0
2020-02-29,39.9
2020-03-31,39.5
2020-04-30,49.0
2020-05-31,51.0
2020-06-30,52.5
2020-07-31,51.9
2020-08-31,51.2
2020-09-30,50.5
2020-10-31,52.1
2020-11-30,52.5
2020-12-31,49.8
2021-01-31,49.4
2021-02-28,45.0
2021-03-31,43.1
2021-04-30,43.3
2021-05-31,43.3
2021-06-30,42.9
2021-07-31,43.2
2021-08-31,43.7
2021-09-30,45.6
2021-10-31,48.6
2021-11-30,52.3
2021-12-31,54.8
2022-01-31,53.9
2022-02-28,52.9
2022-03-31,55.4
2022-04-30,56.1
2022-05-31,60.1
2022-06-30,68.8
2022-07-31,83.7
2022-08-31,90.5
2022-09-30,94.1
2022-10-31,98.8
2022-11-30,100.7
2022-12-31,98.4
2023-01-31,98.5
2023-02-28,103.5
2023-03-31,113.3
2023-04-30,146.5
2023-05-31,171.1
2023-06-30,161.4
2023-07-31,154.9
2023-08-31,197.5
2023-09-30,185.9
2023-10-31,195.6
2023-11-30,226.7
2023-12-31,213.0
2024-01-31,183.2
2024-02-29,146.9
2024-03-31,120.0
2024-04-30,88.0
2024-05-31,68.9
2024-06-30,63.3
2024-07-31,53.7
2024-08-31,44.7
2024-09-30,40.9
2024-10-31,35.0
2024-11-30,29.4
2024-12-31,25.9
2025-01-31,21.9
2025-02-28,22.2
2025-03-31,24.5
2025-04-30,26.3
2025-05-31,20.9
2025-06-30,20.8
2025-07-31,21.1
2025-08-31,20.9
2025-09-30,21.9
2025-10-31,20.8
2025-11-30,21.0
2025-12-31,20.1
2026-01-31,21.0
2026-02-28,22.3
2026-03-31,23.8
