fecha,valor
2016-04-01,4679.91
2016-05-01,4824.56
2016-06-01,4988.25
2016-07-01,5149.41
2016-08-01,5175.92
2016-09-01,5287.67
2016-10-01,5374.56
2016-11-01,5446.59
2016-12-01,5458.86
2017-01-01,5528.47
2017-02-01,5626.95
2017-03-01,5798.57
2017-04-01,5918.8
2017-05-01,5986.07
2017-06-01,6045.34
2017-07-01,6132.54
2017-08-01,6247.92
2017-09-01,6332.62
2017-10-01,6424.82
2017-11-01,6568.85
2017-12-01,6644.4
2018-01-01,6789.53
2018-02-01,6987.2
2018-03-01,7090.19
2018-04-01,7132.06
2018-05-01,7473.63
2018-06-01,7840.72
2018-07-01,8118.57
2018-08-01,8347.57
2018-09-01,9059.51
2018-10-01,9735.42
2018-11-01,10122.9
2018-12-01,10197.53
2019-01-01,10577.16
2019-02-01,11117.11
2019-03-01,11640.06
2019-04-01,11844.84
2019-05-01,12086.78
2019-06-01,12409.72
2019-07-01,12773.78
2019-08-01,13258.32
2019-09-01,13913.9
2019-10-01,14202.26
2019-11-01,15098.79
2019-12-01,15584.14
2020-01-01,16478.78
2020-02-01,16785.87
2020-03-01,17353.25
2020-04-01,17896.63
2020-05-01,17875.68
2020-06-01,18029.1
2020-07-01,18321.51
2020-08-01,18792.42
2020-09-01,19430.45
2020-10-01,20710.2
2020-11-01,21573.1749
2020-12-01,22680.9708
2021-01-01,23722.2081
2021-02-01,24575.2
2021-03-01,25685.0997
2021-04-01,26676.9279
2021-05-01,27423.41
2021-06-01,28413.82
2021-07-01,29002.86
2021-08-01,29213.26
2021-09-01,30013.82
2021-10-01,30925.34
2021-11-01,31724.38
2021-12-01,32963.69
2022-01-01,34333.82
2022-02-01,37413.97
2022-03-01,39862.39
2022-04-01,42526.96
2022-05-01,44498.6
2022-06-01,46525.36
2022-07-01,49465.59
2022-08-01,52989.79
2022-09-01,56731.91
2022-10-01,62105.66
2022-11-01,64012.22
2022-12-01,67187.35
2023-01-01,72043.47
2023-02-01,80483.13
2023-03-01,87719.29
2023-04-01,94148.47
2023-05-01,99052.64
2023-06-01,104227.28
2023-07-01,111642.16
2023-08-01,130590.35
2023-09-01,147880.57
2023-10-01,160602.53
2023-11-01,185050.4
2023-12-01,240678.8
2024-01-01,285561.33
2024-02-01,322851.2
2024-03-01,358048.65
2024-04-01,373044.24
2024-05-01,386977.6641
2024-06-01,393319.2711
2024-07-01,405697.13
2024-08-01,421473.837
2024-09-01,428719.92
2024-10-01,434619.5313
2024-11-01,439239.58
2024-12-01,449313.69
2025-01-01,453384.05
2025-02-01,468107.72
2025-03-01,495615.76
2025-04-01,502291.15
2025-05-01,500280.92
2025-06-01,506008.08
2025-07-01,515404.89
2025-08-01,520529.16
2025-09-01,527736.34
2025-10-01,544304.4
2025-11-01,566364.43
2025-12-01,589510.48
2026-01-01,623990.34
2026-02-01,644088.41
