fecha,valor
2016-04-01,11320.71
2016-05-01,11837.08
2016-06-01,12182.84
2016-07-01,12464.33
2016-08-01,12489.37
2016-09-01,12637.53
2016-10-01,12952.69
2016-11-01,13126.29
2016-12-01,13155.83
2017-01-01,13323.62
2017-02-01,13673.5
2017-03-01,14090.52
2017-04-01,14501.06
2017-05-01,14665.88
2017-06-01,14811.08
2017-07-01,15024.72
2017-08-01,15244.92
2017-09-01,15451.58
2017-10-01,15676.56
2017-11-01,16027.98
2017-12-01,16677.44
2018-01-01,16973.83
2018-02-01,17537.88
2018-03-01,17867.28
2018-04-01,18258.07
2018-05-01,18833.55
2018-06-01,19601.79
2018-07-01,20134.07
2018-08-01,20868.93
2018-09-01,22558.17
2018-10-01,24241.17
2018-11-01,25206.03
2018-12-01,25493.8
2019-01-01,26442.92
2019-02-01,27570.43
2019-03-01,28750.94
2019-04-01,29493.65
2019-05-01,30337.84
2019-06-01,31148.41
2019-07-01,31934.44
2019-08-01,33013.22
2019-09-01,34784.75
2019-10-01,35647.66
2019-11-01,37596.0
2019-12-01,38960.33
2020-01-01,40373.01
2020-02-01,40789.67
2020-03-01,41994.86
2020-04-01,42593.98
2020-05-01,43080.38
2020-06-01,43810.7
2020-07-01,44521.25
2020-08-01,45477.66
2020-09-01,47215.97
2020-10-01,49911.6
2020-11-01,51775.6074
2020-12-01,54207.5301
2021-01-01,56458.8423
2021-02-01,57997.48
2021-03-01,60873.6798
2021-04-01,62957.5449
2021-05-01,64445.01
2021-06-01,66488.33
2021-07-01,67576.66
2021-08-01,68359.02
2021-09-01,70532.46
2021-10-01,72365.3
2021-11-01,73917.81
2021-12-01,76146.13
2022-01-01,78624.46
2022-02-01,83807.29
2022-03-01,89690.37
2022-04-01,95260.37
2022-05-01,99676.85
2022-06-01,104216.8
2022-07-01,111297.57
2022-08-01,119756.94
2022-09-01,128214.11
2022-10-01,139737.74
2022-11-01,145947.87
2022-12-01,152515.29
2023-01-01,163538.68
2023-02-01,177062.87
2023-03-01,191228.05
2023-04-01,203360.69
2023-05-01,217915.79
2023-06-01,232426.83
2023-07-01,248962.01
2023-08-01,284686.95
2023-09-01,319422.04
2023-10-01,345295.45
2023-11-01,390456.32
2023-12-01,495798.32
2024-01-01,596823.18
2024-02-01,690901.57
2024-03-01,773385.1
2024-04-01,828158.19
2024-05-01,851350.8672
2024-06-01,873168.7701
2024-07-01,900647.65
2024-08-01,939886.6596
2024-09-01,964619.82
2024-10-01,986586.324
2024-11-01,1001466.22
2024-12-01,1024435.21
2025-01-01,1033715.62
2025-02-01,1057923.42
2025-03-01,1100266.99
2025-04-01,1110063.43
2025-05-01,1110623.65
2025-06-01,1128398.01
2025-07-01,1149352.91
2025-08-01,1160780.04
2025-09-01,1176852.05
2025-10-01,1213798.81
2025-11-01,1257329.03
2025-12-01,1308713.26
2026-01-01,1360298.93
2026-02-01,1397671.83
2026-03-01,1434463.8093
